Model,Accuracy,Precision,Recall,F1,ROC_AUC
Gradient Boosting,0.5217410954141779,0.5176943547570663,0.48198809108639773,0.49891632646398154,0.5312715702946371
Decision Tree,0.5036376852817547,0.49871200295335766,0.4707882874155591,0.48427450426112817,0.504244493552439
Random Forest,0.49736070288549666,0.49215170761921545,0.4839978817116803,0.4879939702592839,0.49352098987631177
Logistic Regression,0.4976119591669037,0.49131164908792624,0.4362485630513685,0.46164875440349834,0.4908469271935102
Extra Trees,0.4993739135931229,0.4937283231141333,0.4702948812337738,0.48169430778153,0.4885548330729813
